date,open,high,low,close,volume
2023-05-02T09:15:00.000000,101.4,102.45,101.4,102.05,60691
2023-05-02T09:16:00.000000,101.95,102.25,101.95,102.15,20542
2023-05-02T09:17:00.000000,102.2,102.25,102.1,102.15,18050
2023-05-02T09:18:00.000000,102.2,102.2,102.05,102.1,25822
2023-05-02T09:19:00.000000,102.1,102.3,102.05,102.25,32322
2023-05-02T09:20:00.000000,102.25,102.35,102.1,102.25,12499
2023-05-02T09:21:00.000000,102.25,102.35,102.1,102.15,26844
2023-05-02T09:22:00.000000,102.15,102.4,102.15,102.35,44435
2023-05-02T09:23:00.000000,102.35,102.4,102.2,102.35,18524
2023-05-02T09:24:00.000000,102.35,102.35,102.2,102.3,12990
2023-05-02T09:25:00.000000,102.2,102.25,102.1,102.15,22634
2023-05-02T09:26:00.000000,102.25,102.5,102.15,102.5,26169
2023-05-02T09:27:00.000000,102.75,103.35,102.75,103.35,187284
2023-05-02T09:28:00.000000,103.3,103.45,103.05,103.1,185222
2023-05-02T09:29:00.000000,103.1,103.2,103.1,103.1,61036
2023-05-02T09:30:00.000000,102.95,103.0,102.55,102.75,148651
2023-05-02T09:31:00.000000,102.75,102.8,102.35,102.55,120337
2023-05-02T09:32:00.000000,102.45,102.5,102.45,102.5,30746
2023-05-02T09:33:00.000000,102.5,102.6,102.5,102.6,14098
2023-05-02T09:34:00.000000,102.55,102.55,102.5,102.55,33151
2023-05-02T09:35:00.000000,102.55,102.55,102.3,102.3,70013
2023-05-02T09:36:00.000000,102.4,102.5,102.4,102.45,13697
2023-05-02T09:37:00.000000,102.45,102.6,102.4,102.6,18742
2023-05-02T09:38:00.000000,102.6,102.7,102.6,102.7,9629
2023-05-02T09:39:00.000000,102.7,102.7,102.6,102.65,15123
2023-05-02T09:40:00.000000,102.65,102.7,102.55,102.55,52656
2023-05-02T09:41:00.000000,102.45,102.55,102.45,102.55,13699
2023-05-02T09:42:00.000000,102.55,102.65,102.5,102.6,12426
2023-05-02T09:43:00.000000,102.65,102.75,102.65,102.7,32080
2023-05-02T09:44:00.000000,102.75,102.75,102.6,102.7,5527
2023-05-02T09:45:00.000000,102.6,102.7,102.6,102.65,13663
2023-05-02T09:46:00.000000,102.6,102.75,102.55,102.75,40969
2023-05-02T09:47:00.000000,102.8,102.8,102.7,102.7,5654
2023-05-02T09:48:00.000000,102.8,102.8,102.7,102.7,17174
2023-05-02T09:49:00.000000,102.7,102.8,102.7,102.8,8877
2023-05-02T09:50:00.000000,102.85,102.95,102.85,102.9,22702
2023-05-02T09:51:00.000000,102.9,103.0,102.75,102.75,12528
2023-05-02T09:52:00.000000,102.85,102.85,102.7,102.7,8729
2023-05-02T09:53:00.000000,102.7,102.75,102.6,102.65,8018
2023-05-02T09:54:00.000000,102.6,102.65,102.55,102.6,7261
2023-05-02T09:55:00.000000,102.55,102.6,102.55,102.55,6541
2023-05-02T09:56:00.000000,102.6,102.6,102.55,102.6,10112
2023-05-02T09:57:00.000000,102.6,102.65,102.55,102.65,18875
2023-05-02T09:58:00.000000,102.6,102.7,102.6,102.6,14073
2023-05-02T09:59:00.000000,102.6,102.85,102.6,102.65,40175
2023-05-02T10:00:00.000000,102.6,102.6,102.5,102.5,27377
2023-05-02T10:01:00.000000,102.55,102.6,102.5,102.6,6204
2023-05-02T10:02:00.000000,102.6,102.7,102.6,102.7,4962
2023-05-02T10:03:00.000000,102.7,102.75,102.6,102.7,2367
2023-05-02T10:04:00.000000,102.6,102.7,102.6,102.7,1111
2023-05-02T10:05:00.000000,102.7,102.75,102.7,102.7,4251
2023-05-02T10:06:00.000000,102.7,102.85,102.7,102.75,9427
2023-05-02T10:07:00.000000,102.9,103.15,102.8,102.95,90710
2023-05-02T10:08:00.000000,103.0,103.15,103.0,103.1,31336
2023-05-02T10:09:00.000000,103.15,103.15,103.0,103.05,40671
2023-05-02T10:10:00.000000,103.1,103.35,103.1,103.35,91005
2023-05-02T10:11:00.000000,103.35,103.5,103.3,103.45,96496
2023-05-02T10:12:00.000000,103.5,103.7,103.5,103.6,101614
2023-05-02T10:13:00.000000,103.55,103.6,103.45,103.5,19513
2023-05-02T10:14:00.000000,103.5,103.55,103.25,103.25,29949
2023-05-02T10:15:00.000000,103.25,103.25,103.0,103.0,23744
2023-05-02T10:16:00.000000,103.05,103.15,103.0,103.0,35525
2023-05-02T10:17:00.000000,103.0,103.5,103.0,103.3,63685
2023-05-02T10:18:00.000000,103.3,103.3,103.2,103.3,10564
2023-05-02T10:19:00.000000,103.25,103.3,103.25,103.3,10744
2023-05-02T10:20:00.000000,103.3,103.3,103.1,103.1,5734
2023-05-02T10:21:00.000000,103.1,103.1,102.95,103.0,17810
2023-05-02T10:22:00.000000,102.95,103.05,102.95,103.0,12766
2023-05-02T10:23:00.000000,103.0,103.0,102.85,103.0,16227
2023-05-02T10:24:00.000000,103.0,103.25,103.0,103.2,13626
2023-05-02T10:25:00.000000,103.2,103.35,103.2,103.25,13476
2023-05-02T10:26:00.000000,103.25,103.25,103.15,103.2,2388
2023-05-02T10:27:00.000000,103.2,103.2,103.0,103.0,7398
2023-05-02T10:28:00.000000,103.0,103.05,103.0,103.0,12627
2023-05-02T10:29:00.000000,103.0,103.0,102.9,103.0,3442
2023-05-02T10:30:00.000000,103.0,103.0,102.9,102.9,710
2023-05-02T10:31:00.000000,102.9,102.9,102.8,102.8,7351
2023-05-02T10:32:00.000000,102.85,103.0,102.85,103.0,17740
2023-05-02T10:33:00.000000,103.1,103.1,102.9,102.95,26863
2023-05-02T10:34:00.000000,102.95,103.0,102.8,102.85,6266
2023-05-02T10:35:00.000000,102.85,102.9,102.85,102.85,3156
2023-05-02T10:36:00.000000,102.9,102.9,102.75,102.8,11423
2023-05-02T10:37:00.000000,102.75,102.95,102.75,102.9,5982
2023-05-02T10:38:00.000000,102.9,102.9,102.85,102.9,4875
2023-05-02T10:39:00.000000,102.85,102.9,102.8,102.85,8393
2023-05-02T10:40:00.000000,102.85,102.95,102.85,102.85,1588
2023-05-02T10:41:00.000000,102.85,102.9,102.85,102.9,31
2023-05-02T10:42:00.000000,102.85,102.9,102.8,102.8,5594
2023-05-02T10:43:00.000000,102.8,102.8,102.65,102.65,20273
2023-05-02T10:44:00.000000,102.65,102.8,102.65,102.8,441
2023-05-02T10:45:00.000000,102.8,102.8,102.8,102.8,787
2023-05-02T10:46:00.000000,102.75,102.9,102.75,102.9,15482
2023-05-02T10:47:00.000000,102.9,103.0,102.8,102.9,7897
2023-05-02T10:48:00.000000,102.95,103.0,102.9,102.95,6649
2023-05-02T10:49:00.000000,102.95,102.95,102.9,102.95,1106
2023-05-02T10:50:00.000000,102.95,102.95,102.9,102.95,6405
2023-05-02T10:51:00.000000,102.95,102.95,102.9,102.9,10994
2023-05-02T10:52:00.000000,102.85,102.9,102.8,102.8,1686
2023-05-02T10:53:00.000000,102.8,102.85,102.8,102.8,2927
2023-05-02T10:54:00.000000,102.9,102.9,102.8,102.8,368
2023-05-02T10:55:00.000000,102.8,102.85,102.8,102.8,567
2023-05-02T10:56:00.000000,102.85,102.85,102.8,102.8,3056
2023-05-02T10:57:00.000000,102.8,102.8,102.75,102.75,1210
2023-05-02T10:58:00.000000,102.75,102.8,102.75,102.8,557
2023-05-02T10:59:00.000000,102.8,102.8,102.7,102.7,8073
2023-05-02T11:00:00.000000,102.75,102.75,102.7,102.75,2808
2023-05-02T11:01:00.000000,102.75,102.85,102.75,102.85,3531
2023-05-02T11:02:00.000000,102.85,102.9,102.85,102.9,1645
2023-05-02T11:03:00.000000,102.9,103.0,102.9,103.0,10145
2023-05-02T11:04:00.000000,103.0,103.15,103.0,103.15,24386
2023-05-02T11:05:00.000000,103.15,103.2,103.15,103.2,19424
2023-05-02T11:06:00.000000,103.2,103.35,103.2,103.3,25437
2023-05-02T11:07:00.000000,103.3,103.35,103.3,103.3,15782
2023-05-02T11:08:00.000000,103.35,103.35,103.2,103.25,19677
2023-05-02T11:09:00.000000,103.25,103.25,103.15,103.15,4627
2023-05-02T11:10:00.000000,103.15,103.25,103.15,103.25,4445
2023-05-02T11:11:00.000000,103.25,103.25,103.15,103.2,21674
2023-05-02T11:12:00.000000,103.2,103.35,103.2,103.35,19710
2023-05-02T11:13:00.000000,103.15,103.15,102.9,103.0,72975
2023-05-02T11:14:00.000000,103.05,103.15,103.05,103.15,9046
2023-05-02T11:15:00.000000,103.1,103.2,103.1,103.15,3700
2023-05-02T11:16:00.000000,103.2,103.25,103.15,103.25,8949
2023-05-02T11:17:00.000000,103.25,103.35,103.25,103.3,12434
2023-05-02T11:18:00.000000,103.25,103.45,103.2,103.3,44261
2023-05-02T11:19:00.000000,103.3,103.3,103.2,103.25,2730
2023-05-02T11:20:00.000000,103.25,103.3,103.2,103.2,5709
2023-05-02T11:21:00.000000,103.2,103.3,103.2,103.3,1316
2023-05-02T11:22:00.000000,103.3,103.3,103.2,103.25,1882
2023-05-02T11:23:00.000000,103.2,103.2,103.1,103.1,9983
2023-05-02T11:24:00.000000,103.1,103.25,103.1,103.15,4564
2023-05-02T11:25:00.000000,103.15,103.25,103.15,103.2,3135
2023-05-02T11:26:00.000000,103.2,103.25,103.15,103.2,13830
2023-05-02T11:27:00.000000,103.2,103.2,103.1,103.15,7795
2023-05-02T11:28:00.000000,103.15,103.15,103.1,103.1,735
2023-05-02T11:29:00.000000,103.15,103.15,103.1,103.1,2114
2023-05-02T11:30:00.000000,103.1,103.15,103.05,103.05,3934
2023-05-02T11:31:00.000000,103.05,103.1,103.05,103.1,10562
2023-05-02T11:32:00.000000,103.1,103.5,103.1,103.45,29071
2023-05-02T11:33:00.000000,103.4,103.45,103.35,103.45,9002
2023-05-02T11:34:00.000000,103.45,103.55,103.4,103.55,49443
2023-05-02T11:35:00.000000,103.55,103.55,103.45,103.45,16461
2023-05-02T11:36:00.000000,103.45,103.5,103.35,103.45,49389
2023-05-02T11:37:00.000000,103.55,103.55,103.45,103.45,7602
2023-05-02T11:38:00.000000,103.45,103.6,103.45,103.6,23987
2023-05-02T11:39:00.000000,103.5,103.75,103.5,103.6,58901
2023-05-02T11:40:00.000000,103.7,103.7,103.6,103.65,11017
2023-05-02T11:41:00.000000,103.65,103.7,103.6,103.65,18258
2023-05-02T11:42:00.000000,103.7,103.8,103.7,103.7,38658
2023-05-02T11:43:00.000000,103.7,103.75,103.7,103.75,16494
2023-05-02T11:44:00.000000,103.75,103.75,103.6,103.7,5424
2023-05-02T11:45:00.000000,103.7,103.7,103.5,103.6,11496
2023-05-02T11:46:00.000000,103.5,103.6,103.5,103.6,5689
2023-05-02T11:47:00.000000,103.55,103.65,103.55,103.55,10546
2023-05-02T11:48:00.000000,103.55,103.6,103.55,103.6,662
2023-05-02T11:49:00.000000,103.6,103.7,103.55,103.6,8812
2023-05-02T11:50:00.000000,103.6,103.8,103.55,103.75,15941
2023-05-02T11:51:00.000000,103.8,103.8,103.6,103.6,8698
2023-05-02T11:52:00.000000,103.6,103.75,103.6,103.7,6337
2023-05-02T11:53:00.000000,103.8,103.8,103.7,103.75,16822
2023-05-02T11:54:00.000000,103.7,103.8,103.7,103.75,4535
2023-05-02T11:55:00.000000,103.8,103.9,103.8,103.9,78644
2023-05-02T11:56:00.000000,103.95,104.0,103.9,103.95,47052
2023-05-02T11:57:00.000000,104.0,104.0,103.9,103.95,16899
2023-05-02T11:58:00.000000,103.9,104.0,103.9,103.95,13200
2023-05-02T11:59:00.000000,103.95,104.0,103.85,103.9,33852
2023-05-02T12:00:00.000000,103.8,103.9,103.8,103.8,4055
2023-05-02T12:01:00.000000,103.85,103.9,103.8,103.85,5960
2023-05-02T12:02:00.000000,103.85,103.85,103.8,103.85,13187
2023-05-02T12:03:00.000000,103.85,103.85,103.8,103.8,20168
2023-05-02T12:04:00.000000,103.75,103.85,103.75,103.85,5741
2023-05-02T12:05:00.000000,103.85,103.9,103.85,103.85,7530
2023-05-02T12:06:00.000000,103.85,104.0,103.85,104.0,16142
2023-05-02T12:07:00.000000,103.95,104.25,103.95,104.25,145338
2023-05-02T12:08:00.000000,104.25,104.4,104.15,104.35,41911
2023-05-02T12:09:00.000000,104.4,104.5,104.3,104.3,44649
2023-05-02T12:10:00.000000,104.25,104.25,104.15,104.15,17402
2023-05-02T12:11:00.000000,104.15,104.25,104.15,104.2,14078
2023-05-02T12:12:00.000000,104.15,104.25,104.1,104.15,18641
2023-05-02T12:13:00.000000,104.15,104.15,104.1,104.1,4526
2023-05-02T12:14:00.000000,104.1,104.1,104.0,104.0,14545
2023-05-02T12:15:00.000000,104.0,104.15,104.0,104.15,10063
2023-05-02T12:16:00.000000,104.05,104.2,104.05,104.1,32669
2023-05-02T12:17:00.000000,104.15,104.15,103.95,104.0,21570
2023-05-02T12:18:00.000000,104.1,104.1,104.0,104.0,5749
2023-05-02T12:19:00.000000,104.1,104.15,104.05,104.05,17200
2023-05-02T12:20:00.000000,104.05,104.2,104.05,104.1,13661
2023-05-02T12:21:00.000000,104.1,104.15,104.0,104.1,8105
2023-05-02T12:22:00.000000,104.1,104.25,104.1,104.25,19459
2023-05-02T12:23:00.000000,104.2,104.2,104.15,104.15,2962
2023-05-02T12:24:00.000000,104.15,104.15,104.05,104.1,1796
2023-05-02T12:25:00.000000,104.1,104.2,104.05,104.2,4021
2023-05-02T12:26:00.000000,104.2,104.3,104.2,104.25,18811
2023-05-02T12:27:00.000000,104.25,104.35,104.25,104.35,19429
2023-05-02T12:28:00.000000,104.3,104.35,104.25,104.25,5088
2023-05-02T12:29:00.000000,104.25,104.25,104.1,104.1,27560
2023-05-02T12:30:00.000000,104.1,104.1,104.05,104.1,4790
2023-05-02T12:31:00.000000,104.1,104.2,104.1,104.1,12987
2023-05-02T12:32:00.000000,104.15,104.2,104.1,104.1,4667
2023-05-02T12:33:00.000000,104.1,104.2,104.1,104.2,3260
2023-05-02T12:34:00.000000,104.2,104.2,104.1,104.2,1356
2023-05-02T12:35:00.000000,104.2,104.3,104.2,104.3,11786
2023-05-02T12:36:00.000000,104.2,104.3,104.2,104.25,9929
2023-05-02T12:37:00.000000,104.25,104.25,104.25,104.25,3576
2023-05-02T12:38:00.000000,104.3,104.3,104.15,104.2,6030
2023-05-02T12:39:00.000000,104.2,104.2,104.05,104.05,8272
2023-05-02T12:40:00.000000,104.05,104.25,104.05,104.2,5344
2023-05-02T12:41:00.000000,104.2,104.2,104.1,104.15,1584
2023-05-02T12:42:00.000000,104.2,104.2,104.15,104.15,6582
2023-05-02T12:43:00.000000,104.2,104.25,104.1,104.15,30441
2023-05-02T12:44:00.000000,104.15,104.25,104.1,104.15,12261
2023-05-02T12:45:00.000000,104.15,104.45,104.15,104.45,31460
2023-05-02T12:46:00.000000,104.45,104.45,104.3,104.45,7728
2023-05-02T12:47:00.000000,104.45,104.45,104.3,104.35,7915
2023-05-02T12:48:00.000000,104.4,104.4,104.3,104.3,5149
2023-05-02T12:49:00.000000,104.3,104.3,104.2,104.25,11789
2023-05-02T12:50:00.000000,104.25,104.3,104.2,104.25,3464
2023-05-02T12:51:00.000000,104.25,104.25,104.15,104.25,4046
2023-05-02T12:52:00.000000,104.25,104.25,104.15,104.25,2161
2023-05-02T12:53:00.000000,104.15,104.3,104.15,104.3,10701
2023-05-02T12:54:00.000000,104.3,104.3,104.15,104.2,8759
2023-05-02T12:55:00.000000,104.2,104.2,104.1,104.15,7863
2023-05-02T12:56:00.000000,104.15,104.4,104.15,104.4,47259
2023-05-02T12:57:00.000000,104.4,104.4,104.35,104.4,4964
2023-05-02T12:58:00.000000,104.4,104.45,104.35,104.4,9508
2023-05-02T12:59:00.000000,104.4,104.5,104.4,104.4,30360
2023-05-02T13:00:00.000000,104.45,104.45,104.3,104.45,5273
2023-05-02T13:01:00.000000,104.45,104.45,104.4,104.45,19080
2023-05-02T13:02:00.000000,104.45,104.65,104.45,104.65,94368
2023-05-02T13:03:00.000000,104.6,104.75,104.55,104.65,36438
2023-05-02T13:04:00.000000,104.65,104.7,104.6,104.7,13577
2023-05-02T13:05:00.000000,104.65,104.9,104.65,104.9,75928
2023-05-02T13:06:00.000000,104.9,104.9,104.7,104.75,32944
2023-05-02T13:07:00.000000,104.8,104.9,104.8,104.9,26838
2023-05-02T13:08:00.000000,104.85,104.85,104.75,104.75,25171
2023-05-02T13:09:00.000000,104.75,104.8,104.6,104.65,25626
2023-05-02T13:10:00.000000,104.6,104.65,104.5,104.55,19273
2023-05-02T13:11:00.000000,104.5,104.6,104.5,104.55,9244
2023-05-02T13:12:00.000000,104.55,104.6,104.45,104.55,9929
2023-05-02T13:13:00.000000,104.55,104.7,104.55,104.6,17681
2023-05-02T13:14:00.000000,104.6,104.7,104.55,104.6,8303
2023-05-02T13:15:00.000000,104.6,104.65,104.55,104.55,15763
2023-05-02T13:16:00.000000,104.5,104.55,104.35,104.55,20596
2023-05-02T13:17:00.000000,104.5,104.7,104.5,104.65,16711
2023-05-02T13:18:00.000000,104.7,104.75,104.6,104.6,5732
2023-05-02T13:19:00.000000,104.65,104.7,104.6,104.65,7116
2023-05-02T13:20:00.000000,104.65,104.7,104.55,104.6,16684
2023-05-02T13:21:00.000000,104.6,104.6,104.5,104.5,1530
2023-05-02T13:22:00.000000,104.5,104.65,104.5,104.65,13352
2023-05-02T13:23:00.000000,104.55,104.6,104.55,104.6,7810
2023-05-02T13:24:00.000000,104.55,104.65,104.5,104.65,4495
